,,,,Year 5,Year 5,Year 5,Year 5,Year 6,Year 6,Year 6,Year 6,Year 7,Year 7,Year 7,Year 7
,,,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4


Common-----,Retail Dealers--------------,,Chains,6,6,6,6,6,6,6,6,13,13,13,13,
,,,Online,12,12,12,12,12,12,12,12,27,27,27,27,
,,,Shops,500,500,500,500,500,500,500,500,850,850,850,850,
,Tech Support Budget,,,60,60,60,60,100,100,100,100,200,200,200,200,
,Advertising Budget,,,150,150,150,150,150,150,150,150,200,200,200,200,
,Warranty Period---------,,Entry-L,1,1,1,1,1,1,1,1,2,2,2,2,
,,,Multi-F,1,1,1,1,1,1,1,1,12,12,12,12,
Entry-L--------,Average Price,,,160,160,160,160,140,140,140,140,155,155,155,155,
,Promotions-----------------,,Number,1,1,1,1,1,1,1,1,1,1,1,1,
,,,Length,1,1,1,1,1,1,1,1,2,2,2,2,
,,,Discount,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.15,
,Special Utility Features,,,3,3,3,3,3,3,3,3,2,2,2,2,
,Number of Models,,,3,3,3,3,3,3,3,3,3,3,3,3,
,P/Q Rating,,,50,50,50,50,50,51,51,52,35,35,36,36,
,Demand,,,16,16,32,16,32,36,66,39,34,32,66,34,
,Market Share,,,0.05,0.05,0.05,0.05,0.091,0.103,0.096,0.112,0.089,0.084,0.088,0.089,
,Stockout (yes/no),,,0,0,0,0,1,1,1,0,1,1,0,0,
Multi-F--------,Average Price,,,370,370,370,370,390,390,390,390,530,530,530,530,
,Promotions-----------------,,Number,1,1,1,1,1,1,1,1,1,1,1,1,
,,,Length,1,1,1,1,1,1,1,1,1,1,1,1,
,,,Discount,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.15,
,Special Utility Features,,,6,6,6,6,6,6,6,6,12,12,12,12,
,Number of Models,,,3,3,3,3,3,3,3,3,2,2,2,2,
,P/Q Rating,,,50,50,50,50,51,51,52,52,75,75,76,77,
,Demand,,,4,4,8,4,5,4,8,5,8,7,16,8,
,Market Share,,,0.05,0.05,0.05,0.05,0.061,0.051,0.051,0.06,0.085,0.078,0.087,0.087,
,Stockout (yes/no),,,0,0,0,0,0,0,0,0,0,1,0,0,
,,,,,,,,,,,,,,,,
